institutionCode;DayEventDate;MonthEventDate;YearEventData;Year_description;occurrenceID;Acronym;Catalogue number;GBIF tax ID;scientificName_accepted;scientificNameAuthorship;taxonID;taxonRank;kingdom;accordingTo_GBIF;scientificName;identificationRemarks;otherCatalogNumber;individualCount;typestatus;sex;locality;Country;geoReferenceRemarks;decimalLatitude;decimalLongitude;eventDate;Reference;Specifications;Other species;disposition;Phylum
Ugent;17;11;1983;unknown;Ugent:UGMD:100857;UGMD;100857;;;;;;;;Tylenchorhynchus iberius;collection and data is currently is under review;ZIRUG 857;2;  Paratype ;1 female, 1 juvenile;;Spain;only georeferenced to country level;40,463667;-3,74922;1983-11-17;;Mahejan and Nombela;;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100858;UGMD;100858;136513847;Malenchus andrassyi Merny, 1970;Merny, 1970;4555985;SPECIES;Animalia;Hallan, 2000-;Malenchus andrassyi Merny, 1970 (Animalia);collection and data is currently is under review;ZIRUG 858;1;  Paratype ;1 female;;Ivory Coast;only georeferenced to country level;;;;;Leg. Merny;;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100859;UGMD;100859;;;;;;;;Rotylenchus cazorlensis;collection and data is currently is under review;ZIRUG 842/bis;2;;;;;only georeferenced to country level;;;;;"Q. faginea lam.; S. Cazorla 1986";;in collection;Nematoda
Ugent;19;1;1983;1988;Ugent:UGMD:100860;UGMD;100860;136431347;Polenchus curvicauda Raski & Geraert, 1988;Raski & Geraert, 1988;7025321;SPECIES;Animalia;Hallan, 2000-;Polenchus curvicauda Raski & Geraert, 1988 (Animalia);collection and data is currently is under review;ZIRUG 860;1;  Paratype ;1 male;;Chile;only georeferenced to country level;-35,675147;-71,542969;1983-01-19;;"sp.n.; glycerin; 92 bis; OB-6";;in collection;Nematoda
Ugent;22;12;1985;1988;Ugent:UGMD:100861;UGMD;100861;116480018;Halicephalobus laticauda Geraert & al., 1988;Geraert et al., 1988;4557913;;Animalia;;Halicephalobus laticauda Geraert et al., 1988 (Animalia);collection and data is currently is under review;ZIRUG 861;3;Holotype Paratype ;2 females, 1 juvenile ;;Belgium;only georeferenced to country level;50,503887;4,469936;1985-12-22;;"sp.n.; cultured; glyc.;coolmines confronted with epidemic Strongyloides stercoralis; A5";;in collection;Nematoda
Ugent;22;12;1985;1988;Ugent:UGMD:100862;UGMD;100862;116480018;Halicephalobus laticauda Geraert & al., 1988;Geraert et al., 1988;4557913;;Animalia;;Halicephalobus laticauda Geraert et al., 1988 (Animalia);collection and data is currently is under review;ZIRUG 862;2;  Paratype ;2 females;;Belgium;only georeferenced to country level;50,503887;4,469936;1985-12-22;;"sp.n.; cultured; glyc.;coolmines confronted with epidemic Strongyloides stercoralis; A3";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100863;UGMD;100863;;;;;;;;Psilenchus iranicus;collection and data is currently is under review;ZIRUG;;  Paratype ;1 female;;Iran;only georeferenced to country level;;;;;;;missing;
Ugent;22;12;1985;1988;Ugent:UGMD:100864;UGMD;100864;116480018;Halicephalobus laticauda Geraert & al., 1988;Geraert et al., 1988;4557913;;Animalia;;Halicephalobus laticauda Geraert et al., 1988 (Animalia);collection and data is currently is under review;ZIRUG 864;19;;;Water in coalmine at Winterslag, 630 m below sea a ;Belgium;only georeferenced to country level;50,503887;4,469936;1985-12-22;;"sp.n.19 female; cultured; glyc.;coolmines confronted with epidemic Strongyloides stercoralis";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100865;UGMD;100865;136431073;Aglenchus dakotensis Geraert & Raski, 1989;Geraert & Raski, 1989;7025310;SPECIES;Animalia;Hallan, 2000-;Aglenchus dakotensis Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 865;8;  Paratype ;  4 females, 4 males  ;;USA;only georeferenced to country level;37,09024;-95,712891;;;"sp.n.;17'";;in collection;Nematoda
Ugent;26;7;1972;unknown;Ugent:UGMD:100866;UGMD;100866;136431073;Aglenchus dakotensis Geraert & Raski, 1989;Geraert & Raski, 1989;7025310;SPECIES;Animalia;Hallan, 2000-;Aglenchus dakotensis Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 866;2;  Paratype ;2 females;;USA;only georeferenced to country level;37,09024;-95,712891;1972-07-26;;"sp.n.; MC 3288; glyc.";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100867;UGMD;100867;136431073;Aglenchus dakotensis Geraert & Raski, 1989;Geraert & Raski, 1989;7025310;SPECIES;Animalia;Hallan, 2000-;Aglenchus dakotensis Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 867;;;;;USA;only georeferenced to country level;37,09024;-95,712891;;;"female doorsnede; onder microscoop bekijken; glyc. gel.";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100868;UGMD;100868;136431073;Aglenchus dakotensis Geraert & Raski, 1989;Geraert & Raski, 1989;7025310;SPECIES;Animalia;Hallan, 2000-;Aglenchus dakotensis Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 868;;;;;USA;only georeferenced to country level;37,09024;-95,712891;;;"male ventral; onder microscoop bekijken; glyc. gel.";;in collection;Nematoda
Ugent;26;7;1972;unknown;Ugent:UGMD:100869;UGMD;100869;136431073;Aglenchus dakotensis Geraert & Raski, 1989;Geraert & Raski, 1989;7025310;SPECIES;Animalia;Hallan, 2000-;Aglenchus dakotensis Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 869;5;;;Rugby North Dakota Native Sod ;USA;only georeferenced to country level;37,09024;-95,712891;1972-07-26;;"5 male, 2 female; MC 3288";Basiria;in collection;Nematoda
Ugent;14;3;1986;unknown;Ugent:UGMD:100870;UGMD;100870;136512908;Coslenchus aquaticus Geraert & Raski, 1989;Geraert & Raski, 1989;4556010;SPECIES;Animalia;Hallan, 2000-;Coslenchus aquaticus Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 870;21;Holotype   ;1 female;;The Netherlands;only georeferenced to country level;;;1986-03-14;;"sp.n., WO; glyc.;155.3";Drilocephalobus;in collection;Nematoda
Ugent;14;3;1986;unknown;Ugent:UGMD:100871;UGMD;100871;136512908;Coslenchus aquaticus Geraert & Raski, 1989;Geraert & Raski, 1989;4556010;SPECIES;Animalia;Hallan, 2000-;Coslenchus aquaticus Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 871;24;  Paratype ;1 male, 1 female;;The Netherlands;only georeferenced to country level;;;1986-03-14;;"sp.n., glyc.;155.2";;in collection;Nematoda
Ugent;14;3;1986;unknown;Ugent:UGMD:100872;UGMD;100872;136512908;Coslenchus aquaticus Geraert & Raski, 1989;Geraert & Raski, 1989;4556010;SPECIES;Animalia;Hallan, 2000-;Coslenchus aquaticus Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 872;1;;;Broekse Wielen ;The Netherlands;only georeferenced to country level;;;1986-03-14;;sp.n. female,  glyc.gel.;;in collection;Nematoda
Ugent;14;3;1986;unknown;Ugent:UGMD:100873;UGMD;100873;136512908;Coslenchus aquaticus Geraert & Raski, 1989;Geraert & Raski, 1989;4556010;SPECIES;Animalia;Hallan, 2000-;Coslenchus aquaticus Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 873;?;;;Broekse Wielen ;The Netherlands;only georeferenced to country level;;;1986-03-14;;"sp.n.female doorsnede, glyc gel..;preparaat beschadigd onder microscoop bekijken";;in collection;Nematoda
Ugent;14;3;1986;unknown;Ugent:UGMD:100874;UGMD;100874;136512908;Coslenchus aquaticus Geraert & Raski, 1989;Geraert & Raski, 1989;4556010;SPECIES;Animalia;Hallan, 2000-;Coslenchus aquaticus Geraert & Raski, 1989 (Animalia);collection and data is currently is under review;ZIRUG 874;25;Holotype   ;1 male, 3 females;;The Netherlands;only georeferenced to country level;;;1986-03-14;;"sp.n., glyc.; 202.1";;in collection;Nematoda
Ugent;9;10;1983;1986;Ugent:UGMD:100875;UGMD;100875;;;N. Minagawa & T. Mizukubo;;;;;Neolobrocriconema hirakuraense;collection and data is currently is under review;ZIRUG 875;4;  Paratype ;5 females;;Japan;only georeferenced to country level;36,204824;138,252924;1983-10-09;;"n.sp.; 4 of 5? Nakijken onder microscoop; Type slide n° 17-32; N° 83-282";;in collection;Nematoda
Ugent;9;10;1983;1986;Ugent:UGMD:100876;UGMD;100876;;;N. Minagawa & T. Mizukubo;;;;;Neolobrocriconema hirakuraense;collection and data is currently is under review;ZIRUG 876;5;  Paratype ;5 females;;Japan;only georeferenced to country level;36,204824;138,252924;1983-10-09;;"n.sp.; Type slide n° 17-37; N° 83-282";;in collection;Nematoda
Ugent;9;10;1983;1986;Ugent:UGMD:100877;UGMD;100877;;;N. Minagawa & T. Mizukubo;;;;;Neolobrocriconema hirakuraense;collection and data is currently is under review;ZIRUG 877;5;  Paratype ;5 juveniles ;;Japan;only georeferenced to country level;36,204824;138,252924;1983-10-09;;"n.sp.; Type slide n° 17-76; N° 83-282";;in collection;Nematoda
Ugent;5;6;1980;1988;Ugent:UGMD:100878;UGMD;100878;136429278;Ogma trigonolepidum Minagawa, 1988;Minagawa, 1988;7022426;SPECIES;Animalia;Hallan, 2000-;Ogma trigonolepidum Minagawa, 1988 (Animalia);collection and data is currently is under review;ZIRUG 878;5;  Paratype ;5 females;;Japan;only georeferenced to country level;36,204824;138,252924;1980-06-05;;"n.sp.; Type slide n° 23-11; N° 80-48";;in collection;Nematoda
Ugent;5;6;1980;1988;Ugent:UGMD:100879;UGMD;100879;136429278;Ogma trigonolepidum Minagawa, 1988;Minagawa, 1988;7022426;SPECIES;Animalia;Hallan, 2000-;Ogma trigonolepidum Minagawa, 1988 (Animalia);collection and data is currently is under review;ZIRUG 879;5;  Paratype ;5 females;;Japan;only georeferenced to country level;36,204824;138,252924;1980-06-05;;"n.sp.; Type slide n° 23-13; N° 80-48";;in collection;Nematoda
Ugent;;;;1987;Ugent:UGMD:100880;UGMD;100880;136429770;Lobocriconema orixae Minagawa, 1988;Minagawa, 1988;7022997;SPECIES;Animalia;Hallan, 2000-;Lobocriconema orixae Minagawa, 1988 [=> Criconema orixae (Minagawa, 1988)] (Animalia);collection and data is currently is under review;ZIRUG 880;1;  Paratype ;1 female;;Japan;only georeferenced to country level;36,204824;138,252924;;;"n.sp.; Type slide n° 22-21; N° 82-117; July 1982";;in collection;Nematoda
Ugent;12;12;1979;1985;Ugent:UGMD:100881;UGMD;100881;136431541;Merlinius acuminatus Minagawa, 1985;Minagawa, 1985;7023578;SPECIES;Animalia;Hallan, 2000-;Merlinius acuminatus Minagawa, 1985 (Animalia);collection and data is currently is under review;ZIRUG 881;2;  Paratype ;2 males;;Japan;only georeferenced to country level;36,204824;138,252924;1979-12-12;;"n.sp.; slide N° 590; 79-41";;in collection;Nematoda
Ugent;12;12;1979;1985;Ugent:UGMD:100882;UGMD;100882;136431541;Merlinius acuminatus Minagawa, 1985;Minagawa, 1985;7023578;SPECIES;Animalia;Hallan, 2000-;Merlinius acuminatus Minagawa, 1985 (Animalia);collection and data is currently is under review;ZIRUG 882;5;  Paratype ;5 females;;Japan;only georeferenced to country level;36,204824;138,252924;1979-12-12;;"n.sp.; slide N° 578; 79-41";;in collection;Nematoda
Ugent;28;10;1981;1987;Ugent:UGMD:100883;UGMD;100883;136429761;Lobocriconema iyatomii Minagawa, 1988;Minagawa, 1988;7022953;SPECIES;Animalia;Hallan, 2000-;Lobocriconema iyatomii Minagawa, 1988 [=> Criconema iyatomii (Minagawa, 1988)] (Animalia);collection and data is currently is under review;ZIRUG 883;5;  Paratype ;5 females;;Japan;only georeferenced to country level;36,204824;138,252924;1981-10-28;;"n.sp.; Type slide n° 20-11; N° 1001;";;in collection;Nematoda
Ugent;28;10;1981;1987;Ugent:UGMD:100884;UGMD;100884;136429761;Lobocriconema iyatomii Minagawa, 1988;Minagawa, 1988;7022953;SPECIES;Animalia;Hallan, 2000-;Lobocriconema iyatomii Minagawa, 1988 [=> Criconema iyatomii (Minagawa, 1988)] (Animalia);collection and data is currently is under review;ZIRUG 884;5;  Paratype ;5 juveniles ;;Japan;only georeferenced to country level;36,204824;138,252924;1981-10-28;;"n.sp.; Type slide n° 20-55; N° 1001;";;in collection;Nematoda
Ugent;;;;1987;Ugent:UGMD:100885;UGMD;100885;136511843;Lobocriconema nasuense Minagawa, 1988;Minagawa, 1988;7022947;SPECIES;Animalia;Hallan, 2000-;Lobocriconema nasuense Minagawa, 1988 [=> Criconema nasuense (Minagawa, 1988)] (Animalia);collection and data is currently is under review;ZIRUG 885;;  Paratype ;1 female;;Japan;only georeferenced to country level;36,204824;138,252924;;;"n.sp.; Type slide n° 21-10; N° 82-151;onder microscoop bekijken";;in collection;Nematoda
Ugent;17;12;1981;1986;Ugent:UGMD:100886;UGMD;100886;136431509;Verutus mesoangustus Minagawa, 1986;Minagawa, 1986;7024351;SPECIES;Animalia;Hallan, 2000-;Verutus mesoangustus Minagawa, 1986 [=> Bilobodera mesoangustus (Minagawa, 1986)] (Animalia);collection and data is currently is under review;ZIRUG 886;;  Paratype ;1 female;;Japan;only georeferenced to country level;36,204824;138,252924;1981-12-17;;"n.sp.; type slide N° 18-12; N° 1050; onder microscoop bekijken";;in collection;Nematoda
Ugent;28;11;1980;1986;Ugent:UGMD:100887;UGMD;100887;136431509;Verutus mesoangustus Minagawa, 1986;Minagawa, 1986;7024351;SPECIES;Animalia;Hallan, 2000-;Verutus mesoangustus Minagawa, 1986 [=> Bilobodera mesoangustus (Minagawa, 1986)] (Animalia);collection and data is currently is under review;ZIRUG 887;;  Paratype ;1 female;;Japan;only georeferenced to country level;36,204824;138,252924;1980-11-28;;"n.sp.; type slide N° 18-39; N° 80-152; onder microscoop bekijken";;in collection;Nematoda
Ugent;10;7;1981;1986;Ugent:UGMD:100888;UGMD;100888;136431509;Verutus mesoangustus Minagawa, 1986;Minagawa, 1986;7024351;SPECIES;Animalia;Hallan, 2000-;Verutus mesoangustus Minagawa, 1986 [=> Bilobodera mesoangustus (Minagawa, 1986)] (Animalia);collection and data is currently is under review;ZIRUG 888;2?;  Paratype ;5 males ;;Japan;only georeferenced to country level;36,204824;138,252924;1981-07-10;;"n.sp.; type slide N° 18-69; N° 862; onder microscoop bekijken (aantal?)";;in collection;Nematoda
Ugent;2;9;1980;1986;Ugent:UGMD:100889;UGMD;100889;136431509;Verutus mesoangustus Minagawa, 1986;Minagawa, 1986;7024351;SPECIES;Animalia;Hallan, 2000-;Verutus mesoangustus Minagawa, 1986 [=> Bilobodera mesoangustus (Minagawa, 1986)] (Animalia);collection and data is currently is under review;ZIRUG 889;4;  Paratype ;5 males ;;Japan;only georeferenced to country level;36,204824;138,252924;1980-09-02;;"n.sp.; type slide N° 18-102; N° 80-114; onder microscoop bekijken (aantal?)";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100890;UGMD;100890;109613482;Protricoma Timm, 1970;Timm, 1970;2280364;GENUS;Animalia;;Protricoma Timm, 1970 (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;
Ugent;;;;1988;Ugent:UGMD:100941;UGMD;100941;135543854;Procamacolaimus tubifer Gerlach, 1953;Gerlach, 1953;2283300;SPECIES;Animalia;"CoL2006/ITS; WoRMS (Mar 2013)";Procamacolaimus tubifer Gerlach, 1953 (Animalia);collection and data is currently is under review;ZIRUG 941;4;;;;;only georeferenced to country level;;;;;"male; B/10/7 Control HWS; 15-30 cm";;in collection;Nematoda
Ugent;;;;1988;Ugent:UGMD:100942;UGMD;100942;135543854;Procamacolaimus tubifer Gerlach, 1953;Gerlach, 1953;2283300;SPECIES;Animalia;"CoL2006/ITS; WoRMS (Mar 2013)";Procamacolaimus tubifer Gerlach, 1953 (Animalia);collection and data is currently is under review;ZIRUG 942;5;;;;;only georeferenced to country level;;;;;"B/16/1 Control HWS; 90 cm->WT";;in collection;Nematoda
Ugent;12;8;1986;unknown;Ugent:UGMD:100943;UGMD;100943;136200885;Procamacolaimus africanus Furstenberg & Vincx, 1988;Vincx & Furstenberg, 1988;4347119;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Procamacolaimus africanus Furstenberg & Vincx, 1988 (Animalia);collection and data is currently is under review;ZIRUG 943 + 944;5;;;;;only georeferenced to country level;;;1986-08-12;;"1 male, 1 female; B/14/1 Control HWS; 40-75 cm; vermelding 943+944";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100944;UGMD;100944;136514868;Oriverutus labiatus Ahmad & Jairajpuri, 1987;Ahmad & Jairajpuri, 1987;7018491;SPECIES;Animalia;Hallan, 2000-;Oriverutus labiatus Ahmad & Jairajpuri, 1987 (Animalia);collection and data is currently is under review;ZIRUG 944;1;  Paratype ;1 female;;India;only georeferenced to country level;20,593684;78,96288;;;n.sp.;;in collection;Nematoda
Ugent;12;8;1986;unknown;Ugent:UGMD:100945;UGMD;100945;136294959;Eontolaimus capensis Furstenberg & Vincx, 1988;Vincx & Furstenberg, 1988;4347084;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Eontolaimus capensis Furstenberg & Vincx, 1988 (Animalia);collection and data is currently is under review;ZIRUG 945;6;;;;;only georeferenced to country level;;;1986-08-12;;"sp.n. male 1 + female 1; B/14/3; control HWS 60-75 cm";;in collection;Nematoda
Ugent;17;8;1986;unknown;Ugent:UGMD:100946;UGMD;100946;136294959;Eontolaimus capensis Furstenberg & Vincx, 1988;Vincx & Furstenberg, 1988;4347084;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Eontolaimus capensis Furstenberg & Vincx, 1988 (Animalia);collection and data is currently is under review;ZIRUG 946;3;;;;;only georeferenced to country level;;;1986-08-17;;"B/14/2; control HWS 60-75 cm";;in collection;Nematoda
Ugent;19;2;1987;unknown;Ugent:UGMD:100947;UGMD;100947;115392387;Chromadoropsis granulosus Furstenberg & Vincx, 1988;Vincx & Furstenberg, 1988;6485047;SPECIES;Animalia;;Chromadoropsis granulosus Furstenberg & Vincx, 1988 (Animalia);collection and data is currently is under review;ZIRUG 947;4;;;Sundays River Beach ;South Africa;only georeferenced to country level;;;1987-02-19;;"1 male, 2 female; JPF 4W/12";;in collection;Nematoda
Ugent;19;2;1987;unknown;Ugent:UGMD:100948;UGMD;100948;115392387;Chromadoropsis granulosus Furstenberg & Vincx, 1988;Vincx & Furstenberg, 1988;6485047;SPECIES;Animalia;;Chromadoropsis granulosus Furstenberg & Vincx, 1988 (Animalia);collection and data is currently is under review;ZIRUG 948;5;;;Sundays River Beach ;South Africa;only georeferenced to country level;;;1987-02-19;;"1 female + juv; JPF 23W/3";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100949;UGMD;100949;115392388;Chromadoropsis namibiensis Furstenberg & Vincx, 1988;Vincx & Furstenberg, 1988;6485046;SPECIES;Animalia;;Chromadoropsis namibiensis Furstenberg & Vincx, 1988 (Animalia);collection and data is currently is under review;ZIRUG 949;4;;;Langstrand Bay of Cuspi ;Namibia;only georeferenced to country level;-22,95764;18,49041;;;"1 male; JPF 6/10 SWA; 12>LWS (45-65)";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100950;UGMD;100950;115392388;Chromadoropsis namibiensis Furstenberg & Vincx, 1988;Vincx & Furstenberg, 1988;6485046;SPECIES;Animalia;;Chromadoropsis namibiensis Furstenberg & Vincx, 1988 (Animalia);collection and data is currently is under review;ZIRUG 950;6;;;Langstrand Bay of Cuspi ;Namibia;only georeferenced to country level;-22,95764;18,49041;;;"1 male, 3 female; JPF 6/8 SWA; 12m>LWS (45-65)";;in collection;Nematoda
Ugent;18;10;1972;unknown;Ugent:UGMD:100951;UGMD;100951;115392389;Chromadoropsis longispiculosa Furstenberg & Vincx, 1988;Vincx & Furstenberg, 1988;6485045;SPECIES;Animalia;;Chromadoropsis longispiculosa Furstenberg & Vincx, 1988 (Animalia);collection and data is currently is under review;ZIRUG 951;3;;;;;only georeferenced to country level;;;1972-10-18;;"1 male; M10";;in collection;Nematoda
Ugent;5;7;1972;unknown;Ugent:UGMD:100952;UGMD;100952;115392389;Chromadoropsis longispiculosa Furstenberg & Vincx, 1988;Vincx & Furstenberg, 1988;6485045;SPECIES;Animalia;;Chromadoropsis longispiculosa Furstenberg & Vincx, 1988 (Animalia);collection and data is currently is under review;ZIRUG 952;2;;;;;only georeferenced to country level;;;1972-07-05;;"1 female; M20(5K); 14";;in collection;Nematoda
Ugent;19;7;1987;unknown;Ugent:UGMD:100953;UGMD;100953;135781168;Africanema interstitialis Vincx & Furstenberg, 1988;Vincx & Furstenberg, 1988;4349432;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Africanema interstitialis Vincx & Furstenberg, 1988 (Animalia);collection and data is currently is under review;ZIRUG 953;7;Holotype   ;1 male;Sundays River Beach;South Africa;only georeferenced to country level;;;1987-07-19;" Vincx, M.; Furstenberg, J. P. (1988). Africanema interstitialis gen.nov.,sp.nov., a species which indicates the relationship between the Trefusiidae (Halanonchidae) and the Tripyloididae (Nematoda). Stygologia. 4 (1): 9-16";"1 female; JPF 4W/11";;in collection;Nematoda
Ugent;17;8;1986;unknown;Ugent:UGMD:100954;UGMD;100954;135781168;Africanema interstitialis Vincx & Furstenberg, 1988;Vincx & Furstenberg, 1988;4349432;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Africanema interstitialis Vincx & Furstenberg, 1988 (Animalia);collection and data is currently is under review;ZIRUG 954;3;;;;;only georeferenced to country level;;;1986-08-17;;"1 male; B/3/2; Control 6>LWS 15-30cm";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100955;UGMD;100955;135787362;Namibnema papillata Vincx, 1989;Vincx, 1989;4349335;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Namibnema papillata Vincx, 1989 (Animalia);collection and data is currently is under review;ZIRUG 955;4;Holotype   ;1 male;;Namibia;only georeferenced to country level;-22,95764;18,49041;;;;;in collection;Nematoda
Ugent;19;8;1986;unknown;Ugent:UGMD:100956;UGMD;100956;135787362;Namibnema papillata Vincx, 1989;Vincx, 1989;4349335;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Namibnema papillata Vincx, 1989 (Animalia);collection and data is currently is under review;ZIRUG 956;4;;;Langstrand Bay of Cuspi ;Namibia;only georeferenced to country level;-22,95764;18,49041;1986-08-19;;"male, female, juv; JPF 3/6, SWA; HWS (15-30cm) LUCHTBELLEN";;in collection;Nematoda
Ugent;17;2;1987;unknown;Ugent:UGMD:100957;UGMD;100957;136359181;Axonolaimus deconincki Vincx, 1989;Vincx, 1989;4349314;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Axonolaimus deconincki Vincx, 1989 (Animalia);collection and data is currently is under review;ZIRUG 957;4;Holotype   ;1 male;Cape Receive beach/ sunday River estuary;South Africa;only georeferenced to country level;;;1987-02-17;Zoologica Scripta, Vol. 18, No. 2, pp. 231-237, 1989 ;"1 female; 1 b/26";;in collection;Nematoda
Ugent;17;2;1987;unknown;Ugent:UGMD:100958;UGMD;100958;136359181;Axonolaimus deconincki Vincx, 1989;Vincx, 1989;4349314;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Axonolaimus deconincki Vincx, 1989 (Animalia);collection and data is currently is under review;ZIRUG 958;3;;;Sundays Estuang ;South Africa;only georeferenced to country level;;;1987-02-17;;"3 male; 1 b/19";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100959;UGMD;100959;143109730;Nudora;;2280703;GENUS;Animalia;;Nudora (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;
Ugent;5;12;1985;unknown;Ugent:UGMD:100961;UGMD;100961;136513440;Pratylenchus acuticaudatus Braasch & Decker, 1989;Braasch & Decker, 1989;4556339;SPECIES;Animalia;Hallan, 2000-;Pratylenchus acuticaudatus Braasch & Decker, 1989 (Animalia);collection and data is currently is under review;ZIRUG 961;1;  Paratype ;1 female;;;only georeferenced to country level;;;1985-12-05;;"H. Braasch U., H. Decker DDR; FAA, glyzerin";;in collection;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100962;UGMD;100962;143109738;Desmoscolex;;2280240;GENUS;Animalia;;Desmoscolex (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100963;UGMD;100963;143109738;Desmoscolex;;2280240;GENUS;Animalia;;Desmoscolex (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;id 962;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100964;UGMD;100964;143109738;Desmoscolex;;2280240;GENUS;Animalia;;Desmoscolex (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100965;UGMD;100965;143109738;Desmoscolex;;2280240;GENUS;Animalia;;Desmoscolex (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100966;UGMD;100966;143109738;Desmoscolex;;2280240;GENUS;Animalia;;Desmoscolex (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;id 965;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100967;UGMD;100967;136040495;Desmoscolex variabilis Soetaert, 1989;Soetaert, 1989;4346877;SPECIES;Animalia;"Aphia2006/ERMS; WoRMS (Mar 2013)";Desmoscolex variabilis Soetaert, 1989 (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100968;UGMD;100968;136040495;Desmoscolex variabilis Soetaert, 1989;Soetaert, 1989;4346877;SPECIES;Animalia;"Aphia2006/ERMS; WoRMS (Mar 2013)";Desmoscolex variabilis Soetaert, 1989 (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100969;UGMD;100969;135768064;Desmoscolex decraemerae Soetaert, 1989;Soetaert, 1989;4346851;SPECIES;Animalia;"Aphia2006/ERMS; WoRMS (Mar 2013)";Desmoscolex decraemerae Soetaert, 1989 (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100970;UGMD;100970;143109738;Desmoscolex;;2280240;GENUS;Animalia;;Desmoscolex (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;id 969;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100971;UGMD;100971;;;;;;;;Parareolaimus bathyalis;collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100972;UGMD;100972;;;;;;;;Parareolaimus bathyalis;collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;id 971;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100973;UGMD;100973;;;;;;;;Parareolaimus;collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;Nematoda
Ugent;;;;unknown;Ugent:UGMD:100974;UGMD;100974;143109579;Diplopeltoides;;2282917;GENUS;Animalia;;Diplopeltoides (Animalia);collection and data is currently is under review;ZIRUG;;;;;;only georeferenced to country level;;;;;;;missing;
